K-fold,acc,pre,recall,f1
1,0.33640552995391704,0.31590570497076786,0.33640552995391704,0.32017796978710333
2,0.8525345622119815,0.8525345622119815,0.8525345622119815,0.8525345622119815
3,0.8755760368663594,0.8766893743164462,0.8755760368663594,0.8747326072127234
4,0.8433179723502304,0.844068145561958,0.8433179723502304,0.8434941488835566
5,0.8379629629629629,0.8435752285807111,0.8379629629629629,0.8374703314097253
total,0.7491594128690903,0.746554603128373,0.7491594128690903,0.745681923901018
