K-fold,acc,pre,recall,f1
1,0.3824884792626728,0.3647684454136067,0.3824884792626728,0.37051643247041005
2,0.8617511520737328,0.865116078553813,0.8617511520737328,0.8605751008179332
3,0.8709677419354839,0.8709896029171293,0.8709677419354839,0.8707946414961041
4,0.8617511520737328,0.8649164333769506,0.8617511520737328,0.8625481550954298
5,0.8518518518518519,0.852718999082794,0.8518518518518519,0.8508797769726731
total,0.7657620754394948,0.7637019118688587,0.7657620754394948,0.7630628213705101
