K-fold,acc,pre,recall,f1
1,0.3870967741935484,0.37677252160464797,0.3870967741935484,0.3789219263418474
2,0.8110599078341014,0.8150736662165677,0.8110599078341014,0.8098601732152769
3,0.8663594470046083,0.8732118680597794,0.8663594470046083,0.8655937588139049
4,0.9170506912442397,0.921323961394502,0.9170506912442397,0.9173272142414965
5,0.8564814814814815,0.8561886985800029,0.8564814814814815,0.856104062933406
total,0.7676096603515958,0.7685141431710999,0.7676096603515958,0.7655614271091864
