K-fold,acc,pre,recall,f1
1,0.35023041474654376,0.34486734805043673,0.35023041474654376,0.3465289801519427
2,0.847926267281106,0.849468579624667,0.847926267281106,0.847063311367912
3,0.8617511520737328,0.8633461864008276,0.8617511520737328,0.8606907721526802
4,0.8940092165898618,0.8951250638186509,0.8940092165898618,0.89348360410979
5,0.8657407407407407,0.8697671948613569,0.8657407407407407,0.8650789253349095
total,0.763931558286397,0.7645148745511878,0.763931558286397,0.7625691186234469
