K-fold,acc,pre,recall,f1
1,0.4608294930875576,0.33407775020678243,0.4608294930875576,0.37029526518069433
2,0.4608294930875576,0.3258508171852191,0.4608294930875576,0.36969702755797085
3,0.4470046082949309,0.3145434476668782,0.4470046082949309,0.353290155022722
4,0.423963133640553,0.29993809753077927,0.423963133640553,0.3460287340742748
5,0.41203703703703703,0.28379284768953345,0.41203703703703703,0.32768626731406203
total,0.44093275302952717,0.3116405920558385,0.44093275302952717,0.3533994898299448
