K-fold,acc,pre,recall,f1
1,0.43317972350230416,0.4224785187893612,0.43317972350230416,0.4251314808675941
2,0.8709677419354839,0.8718326834455867,0.8709677419354839,0.8702415863706185
3,0.8617511520737328,0.8625356233325249,0.8617511520737328,0.8613598486492275
4,0.8294930875576036,0.8360031225604995,0.8294930875576036,0.831162600863775
5,0.8657407407407407,0.865903111416152,0.8657407407407407,0.8647252418753479
total,0.772226489161973,0.7717506119088249,0.772226489161973,0.7705241517253126
