K-fold,acc,pre,recall,f1
1,0.3548387096774194,0.337067943031934,0.3548387096774194,0.3429552340936958
2,0.8663594470046083,0.8672273673737485,0.8663594470046083,0.8653768548470797
3,0.8755760368663594,0.8753734744518153,0.8755760368663594,0.875379778400303
4,0.8294930875576036,0.8324069478908188,0.8294930875576036,0.8298596564725598
5,0.8472222222222222,0.8493079203783457,0.8472222222222222,0.8455089671876616
total,0.7546979006656426,0.7522767306253325,0.7546979006656426,0.75181609820026
