,Epoch,Loss,Accuracy,Precision,Recall,F1
0,1,0.8595197039681512,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
1,2,0.7152743806710115,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
2,3,0.6827467253079286,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
3,4,0.667693592406608,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
4,5,0.6691989640931826,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
5,6,0.6679710053108834,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
6,7,0.6565807397301132,0.4520547945205479,0.7607563187343237,0.4520547945205479,0.31042902839840786
7,8,0.648243668111595,0.5753424657534246,0.3310189528992306,0.5753424657534246,0.42025014889815365
8,9,0.6886506692783253,0.6027397260273972,0.6603633114949375,0.6027397260273972,0.49782620193579097
9,10,0.6415754814405699,0.5753424657534246,0.5458606313281715,0.5753424657534246,0.4631935262072248
10,11,0.662537992806048,0.589041095890411,0.6200913242009132,0.589041095890411,0.4711925866236905
11,12,0.6294386177449613,0.6438356164383562,0.6898782343987824,0.6438356164383562,0.5828508658568106
12,13,0.6381949758207476,0.6301369863013698,0.6287851478010094,0.6301369863013698,0.5991362179062558
13,14,0.6089100990746472,0.6164383561643836,0.7133884724735073,0.6164383561643836,0.5986154072764767
14,15,0.6046538570442715,0.6986301369863014,0.7071216854922695,0.6986301369863014,0.6813013698630137
15,16,0.6204087669784958,0.6301369863013698,0.672550052687039,0.6301369863013698,0.5608264479087678
16,17,0.5969219658825848,0.6712328767123288,0.6787310742609949,0.6712328767123288,0.6729763387297634
17,18,0.5893581396824604,0.726027397260274,0.7851422550052687,0.726027397260274,0.6941615998827925
18,19,0.5692760944366455,0.7534246575342466,0.7642129559937778,0.7534246575342466,0.7428311996950878
19,20,0.5306442710193428,0.6164383561643836,0.6955534393084757,0.6164383561643836,0.6032826595389241
20,21,0.5254348601038391,0.7534246575342466,0.7830771800868693,0.7534246575342466,0.7538874490929286
21,22,0.4963357569398107,0.589041095890411,0.7194784907474165,0.589041095890411,0.5576394554901876
22,23,0.46841975684101517,0.8356164383561644,0.8487597186227324,0.8356164383561644,0.8365462096324303
23,24,0.4521466558044021,0.7945205479452054,0.8113193943763518,0.7945205479452054,0.7956034436082083
24,25,0.451226947476735,0.7397260273972602,0.7445918304097192,0.7397260273972602,0.7409124614604067
25,26,0.42508476167111786,0.7808219178082192,0.7798127710739898,0.7808219178082192,0.7797175321227567
26,27,0.43889164884348175,0.8493150684931506,0.8502129969929836,0.8493150684931506,0.8496032400967207
27,28,0.42389935093957026,0.6986301369863014,0.7989890850487144,0.6986301369863014,0.6882935182091547
28,29,0.4135147268707688,0.821917808219178,0.8316364309514994,0.821917808219178,0.8229271537233204
29,30,0.4012389962334891,0.7808219178082192,0.8114141329769462,0.7808219178082192,0.7812332880826032
30,31,0.4037223575082985,0.7945205479452054,0.7956064149682592,0.7945205479452054,0.7949135092228012
31,32,0.389219693638183,0.684931506849315,0.7716140559857058,0.684931506849315,0.6758355123651928
32,33,0.34696135690083374,0.821917808219178,0.8316364309514994,0.821917808219178,0.8229271537233204
33,34,0.3681787725638699,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
34,35,0.3422447676594193,0.7945205479452054,0.7939334637964774,0.7945205479452054,0.7928392432527641
35,36,0.35218184864198837,0.7534246575342466,0.7605520650942424,0.7534246575342466,0.7547322540473226
36,37,0.32362979731044256,0.7945205479452054,0.7938727832643092,0.7945205479452054,0.7940449928006235
37,38,0.34844749722931834,0.8082191780821918,0.8294592863488915,0.8082191780821918,0.8090843547224226
38,39,0.3621999670726222,0.7534246575342466,0.7830771800868693,0.7534246575342466,0.7538874490929286
39,40,0.34995415373831185,0.7945205479452054,0.8314395134987269,0.7945205479452054,0.7945205479452054
40,41,0.33511832376589645,0.7808219178082192,0.8016487943965783,0.7808219178082192,0.78181069111134
41,42,0.317072154702367,0.7534246575342466,0.8079147640791476,0.7534246575342466,0.7514780100937276
42,43,0.3239204581524875,0.8082191780821918,0.8150993923164074,0.8082191780821918,0.8092361975923619
43,44,0.3266397795161685,0.7945205479452054,0.8113193943763518,0.7945205479452054,0.7956034436082083
44,45,0.29265544986402664,0.7945205479452054,0.8314395134987269,0.7945205479452054,0.7945205479452054
45,46,0.3081712809366149,0.7945205479452054,0.8113193943763518,0.7945205479452054,0.7956034436082083
46,47,0.34466751926654093,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
47,48,0.32009937211468414,0.7671232876712328,0.7922478206724781,0.7671232876712328,0.767910476557978
48,49,0.29406932721266876,0.8082191780821918,0.8107513491075135,0.8082191780821918,0.8088769629134648
49,50,0.315699008268279,0.7534246575342466,0.7830771800868693,0.7534246575342466,0.7538874490929286
50,51,0.3054930208301222,0.8082191780821918,0.8075320994546313,0.8082191780821918,0.8072528406074122
51,52,0.32265420862146327,0.7945205479452054,0.7938727832643092,0.7945205479452054,0.7940449928006235
52,53,0.2952705889537528,0.7671232876712328,0.8309840513533188,0.7671232876712328,0.7644933982039402
53,54,0.3289457878752335,0.821917808219178,0.8483499377334993,0.821917808219178,0.8225197761913949
54,55,0.2876125502626638,0.8082191780821918,0.8213007528076021,0.8082191780821918,0.8093039112378355
55,56,0.29635534153596776,0.8493150684931506,0.8589822699411741,0.8493150684931506,0.8501691300735786
56,57,0.27312914443177144,0.8493150684931506,0.8502129969929836,0.8493150684931506,0.8496032400967207
57,58,0.2642014574360203,0.8493150684931506,0.8502129969929836,0.8493150684931506,0.8496032400967207
58,59,0.31593631671087163,0.7671232876712328,0.7922478206724781,0.7671232876712328,0.767910476557978
59,60,0.2754032970280261,0.821917808219178,0.8316364309514994,0.821917808219178,0.8229271537233204
60,61,0.2807995483681962,0.8356164383561644,0.8370282134427459,0.8356164383561644,0.8336840297161506
61,62,0.3064320256581178,0.7945205479452054,0.8202988792029887,0.7945205479452054,0.7952151263746865
62,63,0.2688623621455721,0.821917808219178,0.8389329488103822,0.821917808219178,0.8228563177937807
63,64,0.28336033426426555,0.821917808219178,0.8389329488103822,0.821917808219178,0.8228563177937807
64,65,0.2930683421122061,0.821917808219178,0.8263187255935039,0.821917808219178,0.8227295788939625
65,66,0.27151147578213664,0.821917808219178,0.8483499377334993,0.821917808219178,0.8225197761913949
66,67,0.23376811597798322,0.821917808219178,0.8316364309514994,0.821917808219178,0.8229271537233204
67,68,0.2808943424071815,0.8493150684931506,0.8589822699411741,0.8493150684931506,0.8501691300735786
68,69,0.2635155458103966,0.821917808219178,0.8389329488103822,0.821917808219178,0.8228563177937807
69,70,0.22905929024155075,0.7534246575342466,0.7534246575342466,0.7534246575342466,0.7534246575342466
70,71,0.2975919820569657,0.7945205479452054,0.8042905919618247,0.7945205479452054,0.7956851773730619
71,72,0.25537407851299726,0.821917808219178,0.8483499377334993,0.821917808219178,0.8225197761913949
72,73,0.25111243833561203,0.7671232876712328,0.7706294846705806,0.7671232876712328,0.761260657151068
73,74,0.2519776250260907,0.8356164383561644,0.8380033208800332,0.8356164383561644,0.836180253925827
74,75,0.22644188889377825,0.8356164383561644,0.8380033208800332,0.8356164383561644,0.836180253925827
75,76,0.2267819927954996,0.8082191780821918,0.8294592863488915,0.8082191780821918,0.8090843547224226
76,77,0.22508821022268888,0.863013698630137,0.8696467195385725,0.863013698630137,0.8637401411374014
77,78,0.20611044321511243,0.8082191780821918,0.8087927117111156,0.8082191780821918,0.805964701335509
78,79,0.20533554870131854,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
79,80,0.2661129152150573,0.7945205479452054,0.7938727832643092,0.7945205479452054,0.7940449928006235
80,81,0.21832533502900922,0.726027397260274,0.7931080868999844,0.726027397260274,0.7218950804768693
81,82,0.25445891941922744,0.8493150684931506,0.853561023988099,0.8493150684931506,0.8500019513718144
82,83,0.21955770379989534,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
83,84,0.20257315371890325,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
84,85,0.1744621099803496,0.7671232876712328,0.7837058399423216,0.7671232876712328,0.7683505694226361
85,86,0.1626636128671266,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
86,87,0.20672184970179522,0.8904109589041096,0.8925072644250727,0.8904109589041096,0.8907868359505513
87,88,0.20035892483350393,0.8082191780821918,0.8082191780821918,0.8082191780821918,0.8082191780821918
88,89,0.2057593642557795,0.8356164383561644,0.8680880387571,0.8356164383561644,0.8359249660619523
89,90,0.1788249349070562,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
90,91,0.18647528600853844,0.8767123287671232,0.8777886497064579,0.8767123287671232,0.8757035459516584
91,92,0.16136518614114942,0.821917808219178,0.8316364309514994,0.821917808219178,0.8229271537233204
92,93,0.21951180102454648,0.8356164383561644,0.8356164383561644,0.8356164383561644,0.8356164383561644
93,94,0.20365449277734435,0.8767123287671232,0.8764787087182755,0.8767123287671232,0.8764269956803741
94,95,0.20902486457615285,0.7808219178082192,0.7798127710739898,0.7808219178082192,0.7797175321227567
95,96,0.2168807108458635,0.7945205479452054,0.8042905919618247,0.7945205479452054,0.7956851773730619
96,97,0.1826704287448445,0.7945205479452054,0.7990764271989091,0.7945205479452054,0.7954572064161105
97,98,0.18586554408476158,0.8493150684931506,0.8502129969929836,0.8493150684931506,0.8496032400967207
98,99,0.17153043555397843,0.821917808219178,0.8263187255935039,0.821917808219178,0.8227295788939625
99,100,0.15967882281118953,0.8082191780821918,0.8213007528076021,0.8082191780821918,0.8093039112378355
100,101,0.18157819902675376,0.7534246575342466,0.7663828211773417,0.7534246575342466,0.7548193144486457
101,102,0.1994998964002809,0.821917808219178,0.8389329488103822,0.821917808219178,0.8228563177937807
102,103,0.15840827653536926,0.8767123287671232,0.8775162880053459,0.8767123287671232,0.8769481055336805
103,104,0.19320547641129107,0.821917808219178,0.8263187255935039,0.821917808219178,0.8227295788939625
104,105,0.15478321763913375,0.7945205479452054,0.7938727832643092,0.7945205479452054,0.7940449928006235
105,106,0.15250308333417853,0.8356164383561644,0.8423730559274899,0.8356164383561644,0.8364881693648817
106,107,0.13253024205364086,0.8493150684931506,0.84894340023362,0.8493150684931506,0.8489663280537906
107,108,0.15961589576122728,0.8493150684931506,0.8665465032444124,0.8493150684931506,0.8501091919793528
108,109,0.13371953288269406,0.8767123287671232,0.8775162880053459,0.8767123287671232,0.8769481055336805
109,110,0.17704598947956757,0.863013698630137,0.863013698630137,0.863013698630137,0.863013698630137
110,111,0.1544088801192875,0.8356164383561644,0.8370282134427459,0.8356164383561644,0.8336840297161506
111,112,0.17373887822031975,0.7534246575342466,0.7738383024442653,0.7534246575342466,0.7545370275002574
112,113,0.14399905130267143,0.8493150684931506,0.8502129969929836,0.8493150684931506,0.8496032400967207
